FLIGHT DATA
T,Period(ms), T(degC), P(Pa), a-X(g), a-Y(g), a-Z(g), w-X (deg/s), w-Y (deg/s), w-Z (deg/s), Angle-X (deg), Angle-Y(deg)
37271,93,23.56,74348.92,-0.00,-0.00,0.99,-0.01,0.00,-0.03,0.01,-0.00
37326,55,23.56,74348.92,0.00,0.00,1.00,0.01,-0.02,-0.00,0.02,0.00
37395,69,23.56,74349.09,-0.00,0.00,0.99,-0.02,-0.00,0.00,0.02,-0.00
37467,72,23.56,74348.92,0.00,0.00,1.00,-0.01,0.02,0.03,0.01,-0.00
37536,69,23.56,74348.48,-0.00,0.00,1.00,-0.01,0.00,-0.00,0.01,0.00
37607,71,23.56,74348.31,-0.00,0.00,1.00,0.01,-0.00,0.00,0.02,0.00
37677,70,23.56,74348.31,0.00,-0.00,1.00,0.00,-0.00,0.00,0.02,0.00
37753,76,23.56,74347.96,-0.00,0.00,0.99,0.01,0.02,0.00,0.02,0.00
37815,62,23.56,74347.46,-0.00,-0.00,1.00,-0.01,-0.00,-0.00,0.02,0.01
37888,73,23.56,74347.29,0.00,-0.00,1.00,-0.02,0.00,0.02,0.01,0.01
37957,69,23.56,74347.46,-0.00,0.00,0.99,0.04,-0.06,0.02,0.02,0.01
38028,71,23.56,74347.29,-0.00,-0.00,1.00,-0.05,-0.00,-0.02,0.01,0.01
38101,73,23.56,74347.46,0.00,-0.00,1.00,-0.02,0.00,-0.00,0.00,0.01
38171,70,23.56,74347.64,0.00,0.00,1.00,-0.01,-0.03,-0.00,0.00,0.01
38242,71,23.56,74347.80,0.00,0.00,1.00,-0.01,-0.00,-0.00,0.01,0.00
38318,76,23.56,74347.80,-0.00,0.00,1.00,0.01,0.00,-0.00,0.01,0.00
38382,64,23.56,74347.50,0.00,0.00,1.00,0.01,-0.02,0.00,0.01,0.00
38451,69,23.56,74347.33,-0.00,0.00,1.00,0.00,-0.02,0.00,0.01,0.01
38521,70,23.56,74347.50,0.00,0.00,0.99,-0.01,-0.02,-0.03,0.02,0.00
38621,100,23.56,74347.50,0.00,0.00,0.99,-0.04,0.02,-0.02,0.02,0.01
38673,52,23.56,74347.67,-0.00,0.00,0.99,0.03,0.00,0.03,0.03,0.01
38742,69,23.56,74347.80,-0.00,0.00,1.00,-0.05,-0.03,0.00,0.02,0.00
38817,75,23.56,74347.33,-0.00,-0.00,1.00,0.03,0.02,0.00,0.02,0.01
38882,65,23.56,74347.00,-0.00,0.00,1.00,0.01,-0.00,0.02,0.02,0.00
38952,70,23.56,74347.00,-0.00,-0.00,0.99,-0.01,0.00,0.03,0.02,0.01
39022,70,23.56,74346.82,0.00,0.00,0.99,0.03,-0.02,-0.02,0.02,0.00
39092,70,23.56,74346.82,-0.00,0.00,0.99,-0.01,0.03,-0.00,0.03,0.00
39163,71,23.56,74347.00,-0.00,0.00,0.99,-0.05,-0.00,0.00,0.02,0.01
39233,70,23.56,74347.17,-0.00,0.00,0.99,-0.01,-0.00,-0.02,0.02,0.01
39305,72,23.56,74347.17,0.00,-0.00,0.99,-0.02,-0.02,-0.00,0.02,0.01
39383,78,23.56,74347.17,-0.00,0.00,1.00,0.04,0.02,0.00,0.02,0.01
39446,63,23.56,74347.17,-0.00,-0.00,1.00,0.01,-0.00,0.03,0.02,0.01
39517,71,23.56,74347.17,-0.00,-0.00,1.00,0.01,0.00,-0.00,0.02,0.01
39588,71,23.56,74347.33,-0.00,-0.00,1.00,-0.01,-0.00,-0.02,0.01,0.01
39660,72,23.56,74347.50,-0.00,0.00,0.99,0.01,0.00,-0.02,0.02,0.01
39730,70,23.56,74347.67,0.00,0.00,1.00,-0.01,-0.03,0.00,0.02,0.01
39806,76,23.56,74347.50,-0.00,0.00,0.99,-0.02,-0.00,0.00,0.02,0.01
39871,65,23.56,74347.50,-0.00,-0.00,0.99,0.00,-0.00,-0.02,0.01,0.01
40049,178,23.55,74347.73,-0.00,0.00,1.00,0.01,0.00,-0.00,0.02,0.01
40307,258,23.55,74347.68,-0.00,0.00,0.99,-0.02,-0.02,-0.00,0.01,0.01
40362,55,23.55,74347.68,-0.00,-0.00,0.99,0.00,0.00,0.03,0.00,0.01
40431,69,23.55,74347.68,0.00,0.00,1.00,0.01,0.00,-0.03,0.01,0.00
40500,69,23.55,74347.51,-0.00,-0.00,0.99,0.00,0.02,-0.03,0.00,0.01
40571,71,23.55,74347.41,-0.00,0.00,1.00,0.01,-0.02,-0.02,0.01,0.00
40642,71,23.55,74347.07,0.00,0.00,1.00,0.00,0.05,0.02,0.02,0.00
40715,73,23.55,74347.25,-0.00,0.00,1.00,0.00,0.00,-0.02,0.03,0.00
40779,64,23.55,74347.25,0.00,0.00,0.99,0.03,-0.03,-0.00,0.02,0.00
40849,70,23.55,74347.35,-0.00,-0.00,1.00,0.00,-0.00,0.00,0.02,0.00
40920,71,23.55,74347.35,0.00,-0.00,0.99,-0.04,-0.02,0.00,0.02,0.00
40990,70,23.55,74347.35,0.00,0.00,0.99,-0.01,-0.03,0.02,0.02,0.00
41060,70,23.55,74347.17,0.00,0.00,0.99,-0.02,-0.02,0.00,0.02,0.00
41130,70,23.55,74347.01,-0.00,0.00,0.99,-0.01,-0.02,0.02,0.03,0.00
41200,70,23.55,74347.28,0.00,0.00,1.00,0.00,0.00,0.00,0.04,0.00
41274,74,23.55,74347.28,-0.00,0.00,1.00,0.01,-0.03,-0.03,0.03,0.00
41339,65,23.55,74347.28,-0.00,0.00,1.00,0.00,-0.02,0.02,0.04,-0.00
41409,70,23.55,74347.45,0.00,0.00,0.99,-0.01,-0.02,0.00,0.04,-0.00
41480,71,23.55,74347.45,-0.00,-0.00,1.00,0.00,-0.00,0.00,0.04,-0.00
41552,72,23.55,74347.73,-0.00,0.00,1.00,0.00,-0.02,-0.02,0.04,-0.00
41623,71,23.55,74347.73,-0.00,0.00,1.00,-0.01,-0.00,0.00,0.04,0.00
41694,71,23.55,74347.73,-0.00,-0.00,1.00,-0.01,-0.02,0.02,0.04,0.00
41788,94,23.55,74347.90,-0.00,0.00,1.00,0.03,0.00,0.00,0.05,0.00
41839,51,23.55,74348.07,-0.00,0.00,0.99,0.01,0.02,0.03,0.05,0.01
41908,69,23.55,74347.90,0.00,0.00,0.99,0.00,0.00,-0.03,0.05,0.01
41977,69,23.55,74347.90,0.00,0.00,1.00,0.01,0.00,-0.02,0.05,0.01
42045,68,23.55,74347.90,-0.00,-0.00,0.99,0.01,0.03,0.00,0.04,0.01
42115,70,23.56,74348.35,-0.00,0.00,1.00,0.00,-0.00,-0.02,0.03,0.01
42185,70,23.56,74348.01,-0.00,0.00,0.99,-0.01,0.05,-0.00,0.03,0.01
42256,71,23.56,74348.01,0.00,0.00,1.00,0.03,0.00,-0.00,0.03,0.01
42331,75,23.56,74348.18,-0.00,0.00,1.00,0.00,0.00,0.00,0.04,0.01
42393,62,23.56,74348.18,0.00,-0.00,1.00,-0.05,0.03,0.00,0.03,0.00
42463,70,23.56,74348.31,0.00,-0.00,1.00,-0.01,-0.02,0.00,0.03,0.00
42534,71,23.56,74348.48,0.00,0.00,1.00,-0.01,0.00,0.02,0.03,-0.00
42633,99,23.56,74348.14,0.00,0.00,1.00,-0.01,-0.02,0.00,0.03,-0.00
42686,53,23.56,74348.14,0.00,0.00,0.99,0.01,-0.00,-0.00,0.03,-0.01
42757,71,23.56,74347.96,-0.00,0.00,0.99,0.00,0.02,-0.02,0.03,-0.00
42827,70,23.56,74347.67,-0.00,-0.00,0.99,0.00,0.00,-0.03,0.02,-0.00
42905,78,23.56,74347.80,0.00,0.00,0.99,0.00,0.02,-0.02,0.02,-0.00
42969,64,23.56,74347.80,-0.00,-0.00,1.00,0.00,0.00,-0.00,0.02,0.00
43039,70,23.56,74347.50,0.00,0.00,1.00,-0.02,0.00,-0.02,0.02,0.00
43109,70,23.56,74347.67,-0.00,0.00,0.99,0.00,-0.02,0.02,0.02,0.00
43180,71,23.56,74347.84,-0.00,-0.00,1.00,0.00,-0.00,-0.02,0.02,0.00
43251,71,23.56,74347.96,-0.00,0.00,1.00,-0.02,-0.02,0.02,0.02,0.00
43322,71,23.56,74348.14,0.00,0.00,0.99,0.01,-0.08,-0.05,0.02,-0.00
43499,177,23.56,74347.67,0.00,-0.00,0.99,0.00,-0.00,0.00,0.02,-0.00
43758,259,23.55,74347.56,-0.00,0.00,0.99,0.01,0.00,0.03,0.03,0.01
43809,51,23.55,74347.73,-0.00,0.00,0.99,-0.02,0.07,0.03,0.03,0.01
43879,70,23.55,74347.90,0.00,0.00,0.99,0.00,-0.02,-0.00,0.02,0.00
43950,71,23.55,74348.07,0.00,0.00,1.00,-0.01,-0.03,0.00,0.03,-0.00
44020,70,23.55,74348.07,0.00,0.00,0.99,0.00,0.00,-0.00,0.03,-0.00
44090,70,23.55,74347.90,0.00,-0.00,1.00,-0.02,-0.03,0.00,0.02,-0.01
44162,72,23.55,74347.73,-0.00,0.00,0.99,-0.04,-0.02,-0.02,0.02,-0.01
44241,79,23.55,74347.73,0.00,0.00,0.99,0.00,-0.03,0.02,0.03,-0.01
44310,69,23.56,74347.84,0.00,-0.00,1.00,0.00,-0.00,-0.02,0.03,-0.01
44376,66,23.56,74347.67,0.00,0.00,1.00,0.01,0.02,0.02,0.03,-0.02
44444,68,23.56,74347.50,0.00,0.00,1.00,0.00,-0.03,-0.00,0.03,-0.02
44515,71,23.56,74347.67,0.00,0.00,1.00,-0.01,-0.03,-0.02,0.03,-0.02
44587,72,23.56,74347.67,0.00,0.00,0.99,-0.01,0.02,0.00,0.03,-0.02
44656,69,23.56,74347.84,-0.00,0.00,1.00,-0.01,0.00,-0.02,0.03,-0.01
44733,77,23.56,74348.01,0.00,0.00,1.00,0.03,0.00,0.02,0.03,-0.01
44797,64,23.56,74348.18,0.00,0.00,0.99,0.03,-0.02,0.00,0.03,-0.01
44866,69,23.56,74348.52,0.00,-0.00,0.99,0.03,0.00,-0.00,0.03,-0.01
44937,71,23.56,74348.52,-0.00,-0.00,1.00,-0.02,0.00,0.00,0.02,-0.01
45009,72,23.56,74348.35,-0.00,0.00,1.00,0.01,-0.02,-0.00,0.02,-0.01
45080,71,23.56,74348.35,0.00,-0.00,0.99,-0.01,-0.00,-0.02,0.02,-0.01
45153,73,23.56,74348.18,-0.00,0.00,0.99,0.01,-0.00,-0.00,0.03,-0.00
45226,73,23.56,74347.84,0.00,-0.00,1.00,-0.01,-0.02,0.03,0.03,-0.00
45302,76,23.56,74348.01,-0.00,0.00,1.00,0.00,0.00,0.00,0.03,-0.00
45367,65,23.56,74348.18,0.00,-0.00,1.00,0.00,-0.02,0.00,0.02,-0.00
45438,71,23.56,74348.01,-0.00,-0.00,1.00,0.01,0.02,-0.00,0.02,0.00
45508,70,23.56,74348.18,-0.00,0.00,1.00,0.01,-0.02,-0.02,0.02,0.00
45579,71,23.56,74348.01,-0.00,0.00,1.00,0.01,-0.00,-0.02,0.02,0.00
45650,71,23.56,74348.01,-0.00,0.00,0.99,0.00,-0.00,-0.00,0.03,0.00
45720,70,23.56,74348.01,-0.00,0.00,1.00,0.00,-0.03,0.00,0.03,0.01
45795,75,23.56,74348.01,0.00,0.00,1.00,0.00,-0.00,-0.00,0.02,0.00
45860,65,23.56,74348.48,-0.00,0.00,1.00,-0.02,0.02,-0.02,0.02,0.00
45930,70,23.56,74348.65,-0.00,-0.00,1.00,0.00,0.02,-0.02,0.02,0.00
46001,71,23.56,74348.35,-0.00,0.00,1.00,0.03,0.03,0.00,0.02,0.01
46069,68,23.56,74348.18,-0.00,0.00,1.00,0.01,-0.02,-0.00,0.02,0.01
46140,71,23.56,74348.35,-0.00,-0.00,0.99,0.00,0.00,-0.03,0.02,0.01
46211,71,23.56,74348.35,0.00,0.00,1.00,-0.01,-0.00,0.00,0.02,0.01
46280,69,23.56,74348.18,-0.00,0.00,1.00,0.01,-0.02,-0.00,0.02,0.01
46374,94,23.56,74347.84,-0.00,-0.00,1.00,0.00,0.02,-0.02,0.02,0.01
46427,53,23.56,74347.67,-0.00,0.00,1.00,0.01,-0.03,-0.00,0.02,0.02
46497,70,23.56,74347.50,-0.00,0.00,1.00,-0.02,-0.03,-0.02,0.02,0.01
46569,72,23.56,74347.50,-0.00,0.00,1.00,-0.01,0.00,0.00,0.02,0.01
46668,99,23.56,74347.67,-0.00,0.00,1.00,0.01,-0.03,-0.00,0.02,0.01
46722,54,23.56,74347.67,-0.00,0.00,0.99,0.01,-0.03,0.02,0.02,0.01
46791,69,23.56,74347.50,-0.00,0.00,0.99,0.00,0.00,-0.02,0.02,0.02
46968,177,23.55,74347.39,0.00,0.00,1.00,-0.01,-0.02,-0.03,0.02,0.01
47227,259,23.55,74347.12,-0.00,0.00,1.00,0.01,-0.02,0.00,0.02,0.00
47279,52,23.55,74347.28,-0.00,0.00,1.00,0.03,-0.00,0.02,0.02,0.00
47348,69,23.55,74347.12,-0.00,-0.00,1.00,-0.02,-0.00,-0.05,0.02,-0.00
47422,74,23.55,74347.28,0.00,-0.00,1.00,-0.01,-0.05,-0.00,0.02,-0.00
47495,73,23.55,74347.79,0.00,0.00,1.00,-0.02,-0.02,-0.02,0.02,-0.00
47567,72,23.55,74348.14,0.00,0.00,0.99,0.01,0.00,0.03,0.02,-0.01
47636,69,23.55,74348.30,-0.00,0.00,0.99,0.01,0.02,0.02,0.02,-0.00
47711,75,23.55,74348.75,0.00,0.00,0.99,0.01,-0.00,-0.03,0.02,-0.01
47776,65,23.55,74348.92,0.00,-0.00,0.99,0.01,0.02,0.00,0.02,-0.01
47846,70,23.55,74349.09,0.00,0.00,0.99,0.00,0.02,-0.00,0.02,-0.01
47916,70,23.55,74348.92,0.00,0.00,0.99,0.03,0.02,0.00,0.03,-0.01
47984,68,23.55,74348.75,0.00,0.00,0.99,0.00,0.03,-0.00,0.03,-0.02
48054,70,23.55,74348.57,0.00,-0.00,1.00,0.01,0.02,0.00,0.03,-0.01
48124,70,23.56,74348.68,-0.00,0.00,1.00,-0.01,0.05,0.03,0.03,-0.01
48199,75,23.55,74348.57,-0.00,0.00,0.99,0.01,0.00,0.00,0.03,-0.00
48264,65,23.56,74348.85,0.00,0.00,0.99,0.00,-0.00,-0.00,0.03,-0.00
48335,71,23.56,74348.68,-0.00,-0.00,0.99,0.04,0.00,-0.00,0.03,0.00
48405,70,23.56,74348.68,-0.00,-0.00,1.00,0.00,0.00,0.02,0.03,0.00
48475,70,23.56,74348.82,-0.00,-0.00,1.00,0.01,0.02,-0.00,0.02,0.01
48545,70,23.56,74348.65,-0.00,0.00,1.00,0.01,0.05,0.00,0.03,0.02
48614,69,23.56,74348.31,-0.00,-0.00,1.00,0.03,0.11,-0.02,0.02,0.03
48691,77,23.56,74347.96,-0.00,0.00,1.00,0.04,0.05,0.02,0.03,0.04
48760,69,23.56,74348.07,-0.00,0.00,0.99,0.01,-0.02,-0.00,0.03,0.03
48824,64,23.56,74347.80,-0.00,-0.00,1.00,-0.02,-0.00,-0.02,0.02,0.04
48898,74,23.56,74348.25,-0.00,-0.00,1.00,0.03,-0.05,0.02,0.02,0.04
48968,70,23.56,74348.07,-0.00,0.00,1.00,0.00,-0.02,-0.00,0.02,0.04
49039,71,23.56,74348.07,0.00,0.00,0.99,0.01,-0.00,0.02,0.02,0.03
49108,69,23.56,74347.96,0.00,0.00,0.99,0.00,0.02,-0.02,0.02,0.03
49176,68,23.56,74348.25,-0.00,0.00,1.00,0.00,-0.02,-0.02,0.02,0.03
49247,71,23.56,74348.07,-0.00,0.00,0.99,-0.04,-0.00,0.02,0.02,0.03
49323,76,23.56,74347.91,-0.00,0.00,1.00,-0.01,-0.00,-0.00,0.02,0.04
49389,66,23.56,74347.91,-0.00,0.00,1.00,-0.02,0.00,0.00,0.02,0.03
49459,70,23.56,74347.91,-0.00,0.00,0.99,0.00,0.02,-0.02,0.02,0.04
49529,70,23.56,74347.91,0.00,0.00,1.00,0.00,0.00,0.02,0.02,0.04
49596,67,23.56,74348.07,-0.00,0.00,1.00,0.00,-0.00,0.02,0.03,0.03
49666,70,23.56,74348.35,-0.00,-0.00,1.00,0.00,-0.00,-0.00,0.03,0.03
49737,71,23.56,74348.35,0.00,0.00,1.00,-0.01,0.00,0.00,0.03,0.03
49811,74,23.56,74348.35,0.00,-0.00,1.00,-0.01,0.00,0.00,0.02,0.03
49876,65,23.56,74348.35,0.00,0.00,1.00,0.01,0.02,-0.03,0.03,0.02
49944,68,23.56,74348.53,-0.22,0.07,1.00,0.03,-0.70,-21.82,0.31,0.83
50016,72,23.56,74348.53,-0.00,0.01,1.01,6.71,-8.16,1.72,0.80,0.31
50086,70,23.56,74348.69,0.03,0.04,1.01,-7.08,-26.25,2.84,0.54,-1.42
50158,72,23.56,74349.03,0.07,-0.01,1.02,5.68,-16.65,7.24,0.76,-2.77
50230,72,23.57,74349.31,0.11,0.06,1.03,34.02,10.37,8.94,3.08,-2.54
50301,71,23.57,74349.31,0.02,0.06,1.00,13.85,30.54,-4.12,4.07,-0.58
50479,178,23.57,74348.80,0.04,0.12,0.99,18.58,-6.91,8.58,7.25,-1.79
50737,258,23.56,74349.03,0.02,0.23,1.12,36.96,-165.52,14.58,15.97,-33.78
50796,59,23.56,74349.54,0.33,0.31,0.95,58.09,-200.79,20.89,18.79,-40.19
50872,76,23.56,74349.54,0.53,0.27,0.42,27.00,-221.21,39.80,21.14,-54.54
50977,105,23.56,74349.09,0.88,0.28,0.32,-14.17,-0.90,-22.09,19.30,-56.63
51036,59,23.56,74349.09,0.92,0.36,0.44,-21.14,125.81,-42.70,18.39,-51.04
51113,77,23.56,74348.92,0.46,0.29,0.65,-40.80,198.94,-62.06,16.00,-35.93
51220,107,23.56,74348.92,0.17,0.23,0.99,-24.52,116.47,14.06,13.31,-22.06
51279,59,23.56,74349.43,0.23,0.28,1.02,-3.51,83.28,45.55,13.34,-16.81
51352,73,23.56,74349.43,0.08,0.17,1.02,-11.14,51.48,13.89,12.29,-12.26
51427,75,23.56,74349.43,0.00,0.15,1.05,-7.37,40.14,14.70,11.25,-8.44
51500,73,23.56,74349.26,0.11,0.22,0.92,-28.28,2.00,11.12,10.01,-8.33
51572,72,23.56,74349.37,0.17,0.08,0.69,-149.67,211.32,-65.09,0.70,3.27
51648,76,23.56,74348.86,-0.64,-0.18,0.81,-170.16,262.38,-46.56,-11.26,23.74
51733,85,23.56,74348.35,-0.74,-0.35,0.72,-140.91,147.11,33.94,-22.41,36.54
51807,74,23.56,74348.01,-0.82,-0.33,0.71,-34.21,38.46,42.20,-24.23,40.04
51884,77,23.57,74348.12,-0.67,-0.35,0.93,81.58,-124.94,-11.86,-18.57,31.55
51963,79,23.57,74347.78,-0.62,-0.21,0.89,149.68,-183.08,14.29,-7.80,19.76
52041,78,23.57,74347.45,-0.31,0.03,0.78,108.61,-238.10,41.25,0.64,4.02
52116,75,23.57,74347.56,0.04,0.05,0.80,16.84,-99.06,16.79,2.10,-3.07
52189,73,23.57,74347.51,0.06,0.03,0.94,1.37,5.74,-5.92,2.16,-2.95
52264,75,23.57,74347.17,-0.00,0.06,1.03,12.33,7.28,4.29,3.08,-2.20
52329,65,23.57,74347.17,-0.12,0.06,0.94,-9.64,4.58,23.62,2.64,-1.03
52401,72,23.57,74347.12,-0.19,0.12,1.21,-6.46,-125.87,16.89,2.50,-7.21
52476,75,23.57,74346.78,0.14,0.00,1.08,102.10,-388.19,67.82,8.53,-31.86
52551,75,23.59,74347.22,0.75,0.18,0.35,126.63,-270.75,-8.34,17.10,-52.27
52628,77,23.59,74347.14,0.96,0.28,0.09,32.65,-115.37,3.57,19.38,-62.07
52704,76,23.59,74346.97,1.07,0.25,0.00,-33.27,100.90,4.56,16.70,-57.31
52784,80,23.59,74346.97,0.61,0.12,0.40,-28.99,350.25,-28.02,14.09,-33.27
52856,72,23.59,74346.97,0.09,0.15,0.85,-57.78,315.07,-40.41,10.22,-11.28
52932,76,23.59,74347.14,-0.03,0.22,1.15,-65.57,129.84,4.94,5.96,-1.37
53006,74,23.59,74347.14,0.06,0.06,1.22,-25.34,-5.37,-13.01,3.94,-1.68
53080,74,23.59,74346.81,-0.02,0.19,0.83,-7.49,-34.12,29.19,4.52,-3.66
53160,80,23.59,74346.81,0.04,-0.00,1.07,-27.26,-15.05,24.67,2.16,-4.39
53229,69,23.59,74346.97,-0.17,0.10,1.26,-39.37,-212.38,33.04,0.07,-15.03
53312,83,23.59,74346.97,0.49,-0.05,0.75,42.22,-280.29,6.08,2.71,-36.89
53381,69,23.59,74347.92,0.81,0.07,0.40,46.90,-159.82,-44.39,5.84,-49.07
53457,76,23.59,74348.09,0.99,0.16,0.28,-17.92,8.72,-32.69,5.05,-50.87
53531,74,23.59,74347.82,0.79,0.10,0.31,-18.65,316.15,-29.62,4.10,-32.95
53607,76,23.59,74348.15,0.08,0.12,0.87,-18.44,270.63,-15.12,3.41,-12.66
53683,76,23.59,74347.99,-0.22,0.09,1.20,-77.54,184.42,22.82,-1.45,2.02
53758,75,23.59,74347.82,-0.17,-0.09,1.16,-46.76,39.67,27.75,-4.94,5.50
53939,181,23.59,74347.73,-0.26,0.09,1.28,78.61,-359.10,46.15,8.01,-47.34
54204,265,23.57,74347.62,0.89,0.03,0.28,-38.39,212.63,-19.74,-1.19,-9.28
54264,60,23.57,74347.68,0.50,0.07,0.61,-1.99,303.37,-43.72,-0.20,-0.71
54338,74,23.57,74348.14,0.11,0.27,0.97,-35.85,236.45,-11.42,0.21,12.34
54413,75,23.57,74347.79,0.00,0.10,1.12,-33.77,95.84,39.50,-1.13,16.60
54488,75,23.57,74347.79,0.06,0.03,1.08,-0.63,7.58,17.72,-0.80,14.58
54559,71,23.59,74347.90,-0.21,0.02,1.21,1.71,-137.18,6.86,-0.39,6.71
54637,78,23.59,74348.07,0.32,0.07,0.77,19.51,-499.44,5.38,1.22,-28.30
54706,69,23.59,74348.07,0.93,0.13,0.11,-39.98,-227.36,-23.34,-0.15,-47.17
54784,78,23.59,74348.25,0.96,0.05,0.12,-26.96,-3.22,-7.03,-1.67,-51.43
54858,74,23.59,74348.25,0.95,-0.00,0.11,19.62,280.57,-35.86,-0.38,-37.84
54935,77,23.59,74348.41,0.31,0.10,0.77,9.42,290.03,-63.80,0.89,-17.21
55010,75,23.59,74348.83,0.02,0.32,1.15,-34.18,179.30,18.08,0.30,-4.02
55083,73,23.59,74349.28,0.09,0.07,1.21,-20.11,57.28,38.02,-0.80,-0.21
55157,74,23.59,74349.11,0.11,0.06,0.97,14.31,13.95,-2.70,0.51,0.04
55254,97,23.59,74349.28,0.05,0.16,1.02,4.01,-7.00,-12.53,1.77,-0.82
55308,54,23.59,74349.45,0.09,0.13,1.00,-13.56,-5.69,-4.53,1.74,-1.49
55382,74,23.59,74349.75,0.10,0.10,0.98,-11.90,16.91,-4.80,1.39,-0.92
55454,72,23.59,74349.75,0.09,0.07,1.39,-9.24,6.06,4.77,1.03,-0.72
55524,70,23.59,74349.57,0.26,0.15,1.91,-47.19,-9.89,16.88,-1.21,-1.88
55598,74,23.60,74349.68,-0.04,-0.06,0.74,-71.42,-37.50,18.74,-6.26,-3.83
55675,77,23.60,74349.52,-0.07,0.05,0.09,-14.85,-22.94,-30.43,-4.17,-1.91
55882,207,23.60,74348.84,0.23,-0.00,0.98,38.32,16.13,-6.60,3.07,-0.36
55940,58,23.60,74348.67,0.16,-0.02,1.17,20.88,45.96,-18.52,3.55,0.67
56012,72,23.60,74348.67,0.17,-0.08,1.12,9.80,5.49,13.55,3.23,-0.09
56083,71,23.59,74348.39,0.13,-0.04,0.94,17.62,24.88,-6.04,3.61,0.29
56155,72,23.59,74348.39,-0.01,-0.00,1.11,21.43,19.33,-12.43,4.54,1.59
56229,74,23.59,74348.56,0.30,-0.19,2.17,-26.70,28.65,5.93,1.94,2.44
56300,71,23.59,74348.60,0.13,0.16,1.27,-57.03,-132.88,2.47,-0.88,-6.51
56381,81,23.59,74348.60,-0.18,0.09,-0.23,-9.35,-57.85,-8.54,0.11,-5.57
56450,69,23.59,74348.60,0.07,0.11,0.27,-30.22,39.67,-4.18,0.79,-3.91
56522,72,23.59,74348.43,-0.07,-0.11,1.03,31.78,39.61,-14.61,1.92,-0.50
56597,75,23.59,74348.43,0.05,0.03,1.18,42.28,38.83,-21.33,4.65,1.78
56669,72,23.59,74348.60,0.07,0.01,1.30,25.41,19.93,-16.60,5.85,2.58
56742,73,23.59,74348.90,0.03,0.00,1.11,8.92,6.00,-16.56,5.89,2.55
56811,69,23.59,74348.73,-0.01,0.05,0.95,-6.88,-0.53,-16.33,5.36,2.44
56889,78,23.59,74348.90,1.26,0.10,1.19,-9.35,-26.36,46.12,4.45,-3.67
56957,68,23.59,74348.90,0.58,-0.02,0.95,-49.20,19.49,66.56,1.29,-5.47
57030,73,23.60,74348.84,-1.20,0.02,0.95,68.98,-9.54,-56.91,5.76,-1.08
57104,74,23.60,74348.67,-0.97,0.08,0.95,20.52,-62.30,16.68,6.88,-0.93
57178,74,23.60,74348.84,-1.13,-0.17,1.03,9.46,15.26,-9.55,6.35,4.51
57249,71,23.60,74348.67,0.84,0.14,0.76,17.13,-37.00,-21.54,7.44,-2.16
57323,74,23.60,74348.67,0.76,0.23,0.92,-3.13,68.39,-55.63,7.64,-1.11
57396,73,23.60,74348.67,0.80,0.32,0.96,-66.96,5.75,56.72,4.16,-4.09
57575,179,23.60,74348.33,0.80,-0.00,0.72,-8.12,11.77,4.87,2.24,-8.72
57834,259,23.59,74348.06,-0.94,-0.06,0.97,-11.62,59.36,-44.35,-1.03,14.24
57895,61,23.59,74347.92,0.20,-0.07,0.74,0.52,12.69,-48.91,-1.90,11.00
57968,73,23.59,74347.92,0.78,0.09,1.18,29.53,61.01,-79.33,0.84,7.63
58045,77,23.59,74348.23,0.94,0.42,1.03,-11.10,19.94,-5.19,2.50,2.03
58112,67,23.59,74348.06,0.86,0.14,1.08,-30.22,-38.89,68.84,1.31,-4.99
58185,73,23.59,74348.17,1.12,0.07,0.90,-41.74,-41.01,88.37,-0.99,-12.77
58266,81,23.60,74347.82,-0.13,-0.05,0.91,1.93,2.28,-29.07,-1.00,-11.51
58336,70,23.60,74347.65,-1.03,-0.23,0.98,22.27,43.08,-102.59,-0.73,-2.96
58413,77,23.60,74347.76,-1.46,-0.20,0.96,7.80,-31.60,6.65,-0.46,1.35
58485,72,23.60,74347.93,-0.80,-0.16,1.09,-30.28,-6.39,25.05,-3.18,4.48
58560,75,23.60,74348.21,-0.04,-0.03,0.77,29.42,26.77,-15.22,-1.33,6.74
58636,76,23.60,74348.39,1.05,0.35,1.07,-5.89,64.20,-25.12,-0.32,5.96
58709,73,23.60,74348.82,0.75,0.28,1.24,2.82,-23.64,43.86,1.21,1.43
58784,75,23.60,74349.17,1.17,0.05,1.03,-8.33,-41.60,92.14,0.81,-6.07
58852,68,23.60,74349.17,0.91,-0.09,0.91,-16.06,-71.22,178.65,-0.58,-13.70
58930,78,23.60,74349.17,-0.59,-0.03,0.82,16.83,16.35,47.30,0.60,-8.67
59004,74,23.61,74349.61,-0.89,0.25,1.11,-27.22,19.30,-51.94,-0.25,-3.44
59079,75,23.61,74349.61,-1.14,0.03,1.07,8.06,18.34,-54.12,0.37,2.49
59151,72,23.61,74349.28,-0.57,0.26,0.81,16.28,58.91,-58.43,2.70,9.01
59224,73,23.61,74349.57,1.31,-0.10,0.94,6.69,-7.73,-60.93,2.41,2.62
59302,78,23.61,74349.40,0.45,0.15,1.27,-20.31,11.09,-5.90,1.57,1.72
59368,66,23.61,74349.40,0.43,-0.08,1.04,-12.92,-40.49,13.83,0.29,-2.75
59443,75,23.61,74349.23,0.20,-0.00,0.97,11.86,-3.95,-3.42,0.98,-3.86
